model,train_start,train_end,test_start,test_end,train_rows,test_rows,accuracy,f1,roc_auc,horizon_days,threshold_bps,feature_set
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,756,250,0.492,0.4200913242009132,0.5729768270944742,10,0.0,market_only
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,756,250,0.584,0.6809815950920245,0.5355436720142603,10,0.0,market_only
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1006,252,0.42063492063492064,0.37606837606837606,0.5657235484821692,10,0.0,market_only
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1006,252,0.5753968253968254,0.6843657817109144,0.5717653993516064,10,0.0,market_only
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,756,250,0.504,0.5079365079365079,0.5731907308377896,10,0.0,full
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,756,250,0.588,0.6943620178041543,0.5281283422459893,10,0.0,full
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1006,252,0.4801587301587302,0.49808429118773945,0.5414087827880931,10,0.0,full
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,1006,252,0.623015873015873,0.7262247838616714,0.5666077217801356,10,0.0,full
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,744,245,0.4775510204081633,0.3904761904761905,0.572289156626506,10,5.0,market_only
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,744,245,0.6,0.7012195121951219,0.5422430462591106,10,5.0,market_only
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,989,250,0.416,0.3706896551724138,0.5604684333008032,10,5.0,market_only
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,989,250,0.58,0.6884272997032641,0.5453044065760828,10,5.0,market_only
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,744,245,0.49387755102040815,0.4959349593495935,0.5795031979770936,10,5.0,full
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,744,245,0.5959183673469388,0.6990881458966566,0.5345084039863157,10,5.0,full
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,989,250,0.488,0.5038759689922481,0.5339689212521582,10,5.0,full
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,989,250,0.6,0.7058823529411765,0.5661737106823812,10,5.0,full
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,732,241,0.4605809128630705,0.3867924528301887,0.5562888198757765,10,10.0,market_only
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,732,241,0.5809128630705395,0.6813880126182965,0.5455745341614907,10,10.0,market_only
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,973,244,0.4098360655737705,0.36283185840707965,0.5620443803572859,10,10.0,market_only
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,973,244,0.6065573770491803,0.7142857142857143,0.5639669951133541,10,10.0,market_only
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,732,241,0.47717842323651455,0.47058823529411764,0.5646739130434781,10,10.0,full
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,732,241,0.5975103734439834,0.7033639143730887,0.5365683229813665,10,10.0,full
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,973,244,0.4713114754098361,0.4901185770750988,0.5398542017143315,10,10.0,full
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,973,244,0.6147540983606558,0.7168674698795181,0.5834334695185452,10,10.0,full
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,726,238,0.46218487394957986,0.40186915887850466,0.5588141025641026,10,15.0,market_only
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,726,238,0.5966386554621849,0.6923076923076923,0.5584134615384616,10,15.0,market_only
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,964,240,0.4083333333333333,0.37168141592920356,0.5602133511125927,10,15.0,market_only
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,964,240,0.6208333333333333,0.7250755287009063,0.5669639136594716,10,15.0,market_only
logreg,2020-01-01,2022-12-31,2023-01-01,2023-12-31,726,238,0.4957983193277311,0.5041322314049587,0.5713141025641025,10,15.0,full
xgboost,2020-01-01,2022-12-31,2023-01-01,2023-12-31,726,238,0.6008403361344538,0.7058823529411765,0.546073717948718,10,15.0,full
logreg,2020-01-01,2023-12-31,2024-01-01,2024-12-31,964,240,0.49166666666666664,0.5196850393700787,0.5324610384198684,10,15.0,full
xgboost,2020-01-01,2023-12-31,2024-01-01,2024-12-31,964,240,0.6208333333333333,0.7217125382262997,0.5748812401033419,10,15.0,full
